"","countrycode","year","gdppc","growth","UDel_pop_preci","UDel_pop_temp"
"1","ABW",1960,NA,NA,NA,NA
"2","ABW",1961,NA,NA,NA,NA
"3","ABW",1962,NA,NA,NA,NA
"4","ABW",1963,NA,NA,NA,NA
"5","ABW",1964,NA,NA,NA,NA
"6","ABW",1965,NA,NA,NA,NA
"7","ABW",1966,NA,NA,NA,NA
"8","ABW",1967,NA,NA,NA,NA
"9","ABW",1968,NA,NA,NA,NA
"10","ABW",1969,NA,NA,NA,NA
"11","ABW",1970,NA,NA,NA,NA
"12","ABW",1971,NA,NA,NA,NA
"13","ABW",1972,NA,NA,NA,NA
"14","ABW",1973,NA,NA,NA,NA
"15","ABW",1974,NA,NA,NA,NA
"16","ABW",1975,NA,NA,NA,NA
"17","ABW",1976,NA,NA,NA,NA
"18","ABW",1977,NA,NA,NA,NA
"19","ABW",1978,NA,NA,NA,NA
"20","ABW",1979,NA,NA,NA,NA
"21","ABW",1980,NA,NA,NA,NA
"22","ABW",1981,NA,NA,NA,NA
"23","ABW",1982,NA,NA,NA,NA
"24","ABW",1983,NA,NA,NA,NA
"25","ABW",1984,NA,NA,NA,NA
"26","ABW",1985,NA,NA,NA,NA
"27","ABW",1986,17231.37976,NA,NA,NA
"28","ABW",1987,20262.94489,0.162061716878229,NA,NA
"29","ABW",1988,24343.25518,0.183460973353286,NA,NA
"30","ABW",1989,27313.49536,0.115126099081191,NA,NA
"31","ABW",1990,27884.25315,0.0206812106875649,NA,NA
"32","ABW",1991,28953.52471,0.037629821982577,NA,NA
"33","ABW",1992,29031.74375,0.00269789515583518,NA,NA
"34","ABW",1993,29324.79206,0.010043460231838,NA,NA
"35","ABW",1994,29989.01814,0.0223979490087984,NA,NA
"36","ABW",1995,29367.30967,-0.02094911292407,NA,NA
"37","ABW",1996,28684.56498,-0.0235229671996642,NA,NA
"38","ABW",1997,29901.35929,0.0415447680459522,NA,NA
"39","ABW",1998,29857.55966,-0.00146587785095953,NA,NA
"40","ABW",1999,29640.04523,-0.00731173631123561,NA,NA
"41","ABW",2000,31245.72404,0.0527562096951044,NA,NA
"42","ABW",2001,29656.10401,-0.0522145630418756,NA,NA
"43","ABW",2002,28051.11922,-0.0556394409944065,NA,NA
"44","ABW",2003,28008.50355,-0.00152036978142966,NA,NA
"45","ABW",2004,29695.49296,0.0584871198220505,NA,NA
"46","ABW",2005,29670.28769,-0.000849151522595903,NA,NA
