"","extra","countrycode","year","gdppc","growth","interval","UDel_pop_temp","UDel_pop_preci","spatialaverage_temp","spatialaverage_preci","spatialaverage_pdsi","popaverage_pdsi","LMR_popu_air","LMR_popu_prate","LMR_spatial_air","LMR_spatial_prate","spatialbaselinetemp","popbaselinetemp","spatial_baseline_prate","pop_baseline_prate","LMR_spatial_temp","LMR_spatial_preci","LMR_pop_temp","LMR_pop_preci","Berkeley_poptemp","Berkeley_spatialtemp"
"1","ARG1876","ARG",1876,15.71,-0.0100819155639571,1,NA,NA,NA,NA,0.132976450802078,-0.000166105220395407,-0.0625753324014534,-9.67825940754791,-0.146155317438266,-1.87231627346776,14.1169899047737,16.9147383108325,48.7077487723636,73.4387659995455,13.9708345873354,46.8354324988958,16.852162978431,63.7605065919976,16.224378330288,13.6028867557615
"2","ARG1877","ARG",1877,16.85,0.0725652450668364,1,NA,NA,NA,NA,0.132129885574625,0.219179016456539,-0.050909385993398,0.729215097291886,-0.0414867210989241,3.45729020019527,14.1169899047737,16.9147383108325,48.7077487723636,73.4387659995455,14.0755031836748,52.1650389725589,16.8638289248391,74.1679810968374,16.8955800431655,14.1844619915247
"3","ARG1878","ARG",1878,15.48,-0.0813056379821959,1,NA,NA,NA,NA,0.20741873231665,0.0692279450640115,-0.0441684765212457,-13.426193771348,-0.0980814307240323,-5.32409544696679,14.1169899047737,16.9147383108325,48.7077487723636,73.4387659995455,14.0189084740497,43.3836533253968,16.8705698343113,60.0125722281975,15.8903927786758,13.5641780775558
"4","ARG1879","ARG",1879,15.68,0.0129198966408268,1,NA,NA,NA,NA,-0.565377122714141,-0.858133896426894,0.166021494816647,-64.2908596184935,0.0662517554260357,-40.3547937450459,14.1169899047737,16.9147383108325,48.7077487723636,73.4387659995455,14.1832416601997,8.35295502731767,17.0807598056491,9.14790638105201,16.2695570558106,13.8207963054349
"5","ARG1880","ARG",1880,14.89,-0.0503826530612245,1,NA,NA,NA,NA,-0.420637176082014,-0.688463102140302,0.00906443942526111,-26.1481870189682,-0.139573001319166,-21.9411492814089,14.1169899047737,16.9147383108325,48.7077487723636,73.4387659995455,13.9774169034545,26.7665994909547,16.9238027502578,47.2905789805773,16.2083553273817,13.7675727809266
"6","ARG1881","ARG",1881,14.67,-0.0147750167897919,1,NA,NA,NA,NA,-0.0487677385296176,-0.0660171273683051,-0.0185042994564429,11.5940517186183,-0.09961280163593,13.3690872955675,14.1169899047737,16.9147383108325,48.7077487723636,73.4387659995455,14.0173771031378,62.0768360679311,16.8962340113761,85.0328177181638,16.2507189128339,13.6082341333751
"7","ARG1882","ARG",1882,18.02,0.228357191547376,1,NA,NA,NA,NA,-0.381565214122788,-0.473160843968536,-0.150536717199318,-37.303478889634,-0.168661963264792,-23.7829789144154,14.1169899047737,16.9147383108325,48.7077487723636,73.4387659995455,13.9483279415089,24.9247698579482,16.7642015936332,36.1352871099115,16.0762763369271,13.5413633433965
"8","ARG1883","ARG",1883,19.64,0.0899001109877915,1,NA,NA,NA,NA,-0.0355323466988861,-0.300568945118554,-0.106085150027536,-23.2601214961135,-0.163187636970447,-6.04656801074302,14.1169899047737,16.9147383108325,48.7077487723636,73.4387659995455,13.9538022678033,42.6611807616206,16.808653160805,50.178644503432,16.2919951787929,13.5442192171831
"9","ARG1884","ARG",1884,20.42,0.039714867617108,1,NA,NA,NA,NA,0.499635122852797,0.422340906252894,-0.151556260128275,18.5176759095751,-0.158363320201364,16.0994568019301,14.1169899047737,16.9147383108325,48.7077487723636,73.4387659995455,13.9586265845723,64.8072055742937,16.7631820507042,91.9564419091206,16.3362929945393,13.8020162163992
"10","ARG1885","ARG",1885,23.31,0.14152791380999,1,NA,NA,NA,NA,0.276256198449376,0.311022828334688,0.138174780293012,17.3483381418717,0.107682844635694,18.5047142606414,14.1169899047737,16.9147383108325,48.7077487723636,73.4387659995455,14.2246727494094,67.212463033005,17.0529130911255,90.7871041414172,15.7416693093178,13.0431392524009
"11","ARG1886","ARG",1886,22.68,-0.027027027027027,1,NA,NA,NA,NA,0.0182282130738634,-0.129011583808651,-0.112692308515606,-14.4712913114687,-0.176237346766216,-5.87984795296157,14.1169899047737,16.9147383108325,48.7077487723636,73.4387659995455,13.9407525580075,42.827900819402,16.8020460023169,58.9674746880768,15.9575042181566,13.5965115098892
"12","ARG1887","ARG",1887,23.52,0.037037037037037,1,NA,NA,NA,NA,-0.383481905267791,-0.636866200384867,0.0775950375366724,-7.87922694041782,-0.0850545654168521,1.05231774877576,14.1169899047737,16.9147383108325,48.7077487723636,73.4387659995455,14.0319353393568,49.7600665211394,16.9923333483692,65.5595390591277,16.2026311428754,13.4448327647466
"13","ARG1888","ARG",1888,26.56,0.129251700680272,1,NA,NA,NA,NA,0.289312969274508,0.254918943314775,0.0779952611848914,33.992930308888,-0.0270630215919975,26.7982401821035,14.1169899047737,16.9147383108325,48.7077487723636,73.4387659995455,14.0899268831817,75.5059889544671,16.9927335720174,107.431696308433,16.6097898619211,13.7699140091074
"14","ARG1889","ARG",1889,28.31,0.0658885542168675,1,NA,NA,NA,NA,-0.341372983165923,-0.361954380481036,0.0947798828772809,-10.7431760077111,-0.0127383079882098,-11.0898513770303,14.1169899047737,16.9147383108325,48.7077487723636,73.4387659995455,14.1042515967855,37.6178973953333,17.0095181937098,62.6955899918344,15.8315491906305,13.0964717706393
"15","ARG1890","ARG",1890,25.1,-0.113387495584599,1,NA,NA,NA,NA,-0.835336115458002,-0.938147413621635,0.12152321672256,-59.6306561306102,-0.0246203188025341,-53.683916488196,14.1169899047737,16.9147383108325,48.7077487723636,73.4387659995455,14.0923695859712,-4.9761677158324,17.0362615275551,13.8081098689353,16.0198901580102,13.4160269829119
"16","ARG1891","ARG",1891,22.97,-0.0848605577689244,1,NA,NA,NA,NA,0.0410205957905471,0.0577789691979872,0.0302411303428067,6.81640904574444,-0.0396694687390796,3.48792865309381,14.1169899047737,16.9147383108325,48.7077487723636,73.4387659995455,14.0773204360346,52.1956774254574,16.9449794411753,80.2551750452899,16.2689867418131,13.5997353789187
"17","ARG1892","ARG",1892,26.73,0.163691771876361,1,NA,NA,NA,NA,-0.529426870544645,-0.59788911865278,0.00157996087117586,-42.4918391671984,-0.0563946143718446,-31.8642336491907,14.1169899047737,16.9147383108325,48.7077487723636,73.4387659995455,14.0605952904019,16.8435151231729,16.9163182717037,30.9469268323471,16.0036042920382,13.3247840285634
"18","ARG1893","ARG",1893,27.49,0.0284324728769172,1,NA,NA,NA,NA,-0.962358110836288,-0.690530893198229,-0.0435084303718638,-52.367534434673,-0.0413351636061774,-60.2078601998635,14.1169899047737,16.9147383108325,48.7077487723636,73.4387659995455,14.0756547411675,-11.5001114274999,16.8712298804606,21.0712315648725,15.7979412441004,13.2954855586386
"19","ARG1894","ARG",1894,30.84,0.121862495452892,1,NA,NA,NA,NA,-0.469129946018725,-0.352234065672348,0.0452632829582805,-18.1791215670805,-0.0257733768334183,-28.8652513168058,14.1169899047737,16.9147383108325,48.7077487723636,73.4387659995455,14.0912165279403,19.8424974555578,16.9600015937908,55.259644432465,16.0756534187626,13.5311738877337
"20","ARG1895","ARG",1895,33.23,0.0774967574578469,1,NA,NA,NA,NA,0.0607761281745728,0.246977484257805,-0.0277181131856747,8.04090996313611,-0.082824581598126,-6.43240355231378,14.1169899047737,16.9147383108325,48.7077487723636,73.4387659995455,14.0341653231756,42.2753452200498,16.8870201976468,81.4796759626816,16.6741153295641,13.9592399066927
"21","ARG1896","ARG",1896,35.73,0.0752332229912729,1,NA,NA,NA,NA,-0.53930714188552,-0.487802413030193,0.0556787955296892,-17.5153066365541,-0.018992683496355,-22.0998259678577,14.1169899047737,16.9147383108325,48.7077487723636,73.4387659995455,14.0979972212773,26.6079228045059,16.9704171063622,55.9234593629914,17.1325664453853,14.4428860209445
"22","ARG1897","ARG",1897,27.91,-0.218863699972012,1,NA,NA,NA,NA,-0.199446260794148,-0.0035366142469653,-0.0695170956454245,-4.77594483408072,-0.0102664481865262,-8.45840347629091,14.1169899047737,16.9147383108325,48.7077487723636,73.4387659995455,14.1067234565872,40.2493452960727,16.8452212151871,68.6628211654648,16.6283546597662,13.8863646343752
"23","ARG1898","ARG",1898,29.44,0.0548190612683626,1,NA,NA,NA,NA,0.53781828101061,0.0992314246644722,-0.138143335151759,-5.58090931148367,-0.19321102969329,18.4447545379899,14.1169899047737,16.9147383108325,48.7077487723636,73.4387659995455,13.9237788750804,67.1525033103535,16.7765949756807,67.8578566880618,15.6932315724964,13.1328626338981
"24","ARG1899","ARG",1899,33.75,0.146399456521739,1,NA,NA,NA,NA,0.173428488322355,-0.132545434223416,-0.08415384110857,1.28273822218925,-0.206089159503448,10.8663461788346,14.1169899047737,16.9147383108325,48.7077487723636,73.4387659995455,13.9109007452703,59.5740949511982,16.8305844697239,74.7215042217347,16.7301697120612,14.0474523939214
"25","ARG1900","ARG",1900,28.78,-0.147259259259259,1,17.20267986,106.9558565,14.22477619,56.99923903,0.427941300356542,0.415106108083614,-0.278391072873624,17.4749039818104,-0.352071796783768,15.4414221277521,14.1169899047737,16.9147383108325,48.7077487723636,73.4387659995455,13.7649181079899,64.1491709001157,16.6363472379589,90.9136699813559,17.0647129020276,14.2281916585157
