"","countrycode","UDel_t_pop","year"
"168","OMN",26.4343974641938,1900
"169","PAK",23.1641034673875,1900
"170","PAN",25.4057781706942,1900
"171","PCN",NA,1900
"172","PER",15.6154126610368,1900
"173","PHL",25.9242444096494,1900
"174","PLW",NA,1900
"175","PNG",22.4239172604594,1900
"176","POL",8.30732246146497,1900
"177","PRI",23.9402069959633,1900
"178","PRK",7.54984553424338,1900
"179","PRT",14.8692849016575,1900
"180","PRY",22.645821031615,1900
"181","PYF",23.8,1900
"182","QAT",26.2166564366376,1900
"183","ROU",9.89040743982651,1900
"184","RUS",2.70931613074047,1900
"185","RWA",19.8791462635289,1900
"186","ESH",23.8724183056567,1900
"187","SAU",25.9150305824338,1900
"188","SDN",27.9614567910907,1900
"189","SSD",27.45651843324,1900
"190","SEN",26.9125295233646,1900
"191","SGP",NA,1900
"192","SGS",NA,1900
"193","SHN",NA,1900
"194","SLB",27.4495811881328,1900
"195","SLE",26.5816903189835,1900
"196","SLV",22.3771670488821,1900
"197","SMR",11.9895721114976,1900
"198","SOL",24.3596880177017,1900
"199","SOM",27.4675467116316,1900
"200","SPM",NA,1900
"201","SRB",10.7228141298969,1900
"202","STP",25.2,1900
"203","SUR",27.6367420638536,1900
"204","SVK",9.25257862399562,1900
"205","SVN",9.19527567623076,1900
"206","SWE",4.88247397131163,1900
"207","SWZ",20.1733338950828,1900
"208","SXM",NA,1900
"209","SYC",NA,1900
"210","SYR",17.7108298130336,1900
"211","TCA",26.9,1900
"212","TCD",27.4060822131328,1900
"213","TGO",26.9965339198571,1900
"214","THA",27.3772473035941,1900
"215","TJK",10.1820311280185,1900
"216","TKM",14.4523412050748,1900
"217","TLS",25.9907103645954,1900
"218","TON",NA,1900
"219","TTO",25.5961213067748,1900
"220","TUN",18.6694660331551,1900
"221","TUR",12.4878354866187,1900
"222","TWN",19.9674117857756,1900
"223","TZA",22.4361602141053,1900
"224","UGA",22.4740969696769,1900
"225","UKR",8.08060951956755,1900
"226","URY",18.3791314028997,1900
"227","USA",13.8636873138365,1900
"228","UZB",12.958170785614,1900
"229","VAT",15.5,1900
"230","VCT",26.5,1900
"231","VEN",25.6134692765498,1900
"232","VGB",NA,1900
"233","VIR",26.8,1900
"234","VNM",24.9538768594723,1900
"235","VUT",24.5401936230863,1900
"236","PSE",18.8145874383338,1900
"237","WLF",NA,1900
"238","WSM",25.7,1900
"239","YEM",22.6138161834672,1900
"240","ZAF",17.9203930563,1900
"241","ZMB",21.2775886895598,1900
"242","ZWE",20.1258870691881,1900
"243","TUV",NA,1900
"244","GUF",27.5447119339843,1900
"245","ABW",NA,1901
"246","AFG",11.5672645735212,1901
"247","AGO",21.1495258143388,1901
"248","AIA",NA,1901
"249","ALB",13.0258958202195,1901
"250","ALA",6,1901
"251","AND",9.11343330390883,1901
"252","ARE",27.2811269475109,1901
"253","ARG",17.0560812739016,1901
"254","ARM",8.88358939120783,1901
"255","ASM",NA,1901
"256","ATA",NA,1901
"257","Ashm",NA,1901
"258","ATF",NA,1901
"259","ATG",NA,1901
"260","AUS",16.4049348165589,1901
"261","AUT",6.92887511222945,1901
"262","AZE",12.6056122968225,1901
"263","BDI",20.1889729226446,1901
"264","BEL",9.44687552610341,1901
"265","BEN",28.0900200001699,1901
"266","BFA",28.6300475503865,1901
"267","BGD",25.5361414046956,1901
"268","BGR",10.2160487207441,1901
"269","BHR",NA,1901
"270","BHS",24.8720541850072,1901
"271","BIH",7.69996704825537,1901
"272","BLM",NA,1901
"273","BLR",6.49036099144834,1901
"274","BLZ",25.5265533057247,1901
"275","BMU",NA,1901
"276","BOL",17.7820975044401,1901
"277","BRA",21.4651794781521,1901
"278","BRB",NA,1901
"279","BRN",26.9826219457506,1901
"280","BTN",12.5750661208482,1901
"281","BWA",20.812662141704,1901
"282","CAF",24.8412064202817,1901
"283","CAN",5.43929783160766,1901
"284","CHE",6.63372659955726,1901
"285","CHL",10.0978871698839,1901
"286","CHN",13.8551805865297,1901
"287","CIV",26.7576925227204,1901
"288","CMR",23.6044974941336,1901
"289","COD",23.0389516765176,1901
"290","COG",24.1457510834074,1901
"291","COK",24.2,1901
"292","COL",19.8029083426346,1901
"293","COM",24.3,1901
"294","CPV",21.2,1901
"295","CRI",22.0053316803353,1901
"296","CUB",24.73482853861,1901
"297","CUW",NA,1901
"298","CYM",27.4,1901
"299","CYN",19.4272461223076,1901
"300","CYP",18.2901944936355,1901
"301","CZE",7.49322878263261,1901
"302","DEU",8.23181217921365,1901
"303","DJI",27.5632339033972,1901
"304","DMA",NA,1901
"305","DNK",7.66305427766102,1901
"306","DOM",24.758176377299,1901
"307","DZA",16.3822087382683,1901
"308","ECU",18.4930923478318,1901
"309","EGY",21.5968874278838,1901
"310","ERI",23.0093792226338,1901
"311","ESP",13.713082260078,1901
"312","EST",5.260932717138,1901
"313","ETH",19.3152039444332,1901
"314","FIN",3.66289874759529,1901
"315","FJI",23.5865120193791,1901
"316","FLK",6.68150137148919,1901
"317","FRA",10.1734118452066,1901
"318","FRO",NA,1901
"319","FSM",NA,1901
"320","GAB",23.9712121237951,1901
"321","Gaza",20.6,1901
"322","GBR",8.9724065802113,1901
"323","GEO",11.4420583183617,1901
"324","GGY",NA,1901
"325","GHA",26.9542932269039,1901
"326","GIN",25.5318742281594,1901
"327","GMB",26.5870938790173,1901
"328","GNB",27.0069088218521,1901
"329","GNQ",23.4536120581648,1901
"330","GRC",15.2351368698216,1901
"331","GRD",NA,1901
"332","GRL",-3.84280817073597,1901
"333","GTM",22.0406670310001,1901
"334","GUM",NA,1901
"335","GUY",26.7433743617866,1901
"336","HKG",22.4,1901
"337","HMD",NA,1901
"338","HND",23.7942933661365,1901
"339","HRV",10.7680708261141,1901
"340","HTI",23.6023177261456,1901
"341","HUN",9.92926293961723,1901
"342","IDN",24.5769777146015,1901
"343","IMN",NA,1901
"344","IND",25.6492192124855,1901
"345","IOA",NA,1901
"346","IOT",NA,1901
"347","IRL",8.08294013093476,1901
"348","IRN",15.62863731603,1901
"349","IRQ",23.3653624296084,1901
"350","ISL",1.43097027279144,1901
"351","ISR",20.1894551396833,1901
"352","ITA",12.1604160226963,1901
"353","JAM",24.0334771533751,1901
"354","JEY",10.7,1901
"355","JOR",18.3187082155251,1901
"356","JPN",12.9160594263995,1901
"357","KAS",-4.6,1901
"358","KAZ",5.08527711195108,1901
"359","KEN",20.5164913755459,1901
"360","KGZ",5.15185477651906,1901
"361","KHM",27.8318708409537,1901
"362","KIR",NA,1901
"363","KNA",NA,1901
"364","KOR",10.281566229941,1901
"365","KOS",8.81594781081521,1901
"366","KWT",26.3175569857701,1901
"367","LAO",24.4454022344981,1901
"368","LBN",14.4956743526636,1901
"369","LBR",26.1986403540988,1901
"370","LBY",20.3556149910761,1901
"371","LCA",NA,1901
"372","LIE",2.90316717915646,1901
"373","LKA",26.4735835494275,1901
"374","LSO",11.5595881114761,1901
"375","LTU",6.5785126658746,1901
"376","LUX",8.4,1901
"377","LVA",6.17902835884121,1901
"378","MAC",21.2,1901
"379","MAF",NA,1901
"380","MAR",17.1014418301923,1901
"381","MCO",13,1901
"382","MDA",9.29804765994768,1901
"383","MDG",20.5684921282489,1901
"384","MDV",NA,1901
"385","MEX",18.1756177988288,1901
"386","MHL",NA,1901
"387","MKD",9.96249089821504,1901
"388","MLI",28.1272850597221,1901
"389","MLT",NA,1901
"390","MMR",25.5071030335814,1901
"391","MNE",7.4955098523101,1901
"392","MNG",-1.25849925758991,1901
"393","MNP",NA,1901
"394","MOZ",22.7973486012258,1901
"395","MRT",27.8359642535197,1901
"396","MSR",NA,1901
"397","MUS",23.5,1901
"398","MWI",20.3572287315414,1901
"399","MYS",26.0192176143657,1901
"400","NAM",20.4862594991564,1901
"401","NCL",20.7878872075389,1901
"402","NER",28.6430237960958,1901
"403","NFK",NA,1901
"404","NGA",26.6879281882725,1901
"405","NIC",25.4142973305556,1901
"406","NIU",NA,1901
"407","NLD",9.17676687458367,1901
"408","NOR",4.88167952698406,1901
"409","NPL",21.1832105806546,1901
"410","NRU",NA,1901
"411","NZL",12.0285519383901,1901
"412","OMN",26.581889363653,1901
"413","PAK",23.0138043914057,1901
"414","PAN",24.5968588272205,1901
"415","PCN",NA,1901
"416","PER",14.8346034336132,1901
"417","PHL",25.5979110473773,1901
"418","PLW",NA,1901
"419","PNG",21.8506138808533,1901
"420","POL",7.78580482792182,1901
"421","PRI",24.2924782523162,1901
"422","PRK",7.37071803867754,1901
"423","PRT",14.4898812515837,1901
"424","PRY",22.1602495386024,1901
"425","PYF",24.2,1901
"426","QAT",26.7166564366376,1901
"427","ROU",9.02963478646222,1901
"428","RUS",3.76026652837498,1901
"429","RWA",20.1480889987759,1901
"430","ESH",23.8521675195965,1901
"431","SAU",26.238771426838,1901
"432","SDN",28.4695782510789,1901
"433","SSD",27.8958057594687,1901
"434","SEN",26.8256088663604,1901
"435","SGP",NA,1901
"436","SGS",NA,1901
"437","SHN",NA,1901
"438","SLB",26.9350651635012,1901
"439","SLE",26.6583400259929,1901
"440","SLV",21.9462115926674,1901
"441","SMR",11.1895721114976,1901
"442","SOL",24.2265730000718,1901
"443","SOM",27.1462869588027,1901
"444","SPM",NA,1901
"445","SRB",9.81388696151871,1901
"446","STP",24.9,1901
"447","SUR",27.5504240746378,1901
"448","SVK",7.45069823010744,1901
"449","SVN",7.91820683948527,1901
"450","SWE",5.71477750969739,1901
"451","SWZ",19.4186150395823,1901
"452","SXM",NA,1901
"453","SYC",NA,1901
"454","SYR",18.4109786365046,1901
"455","TCA",26.6,1901
"456","TCD",27.5819262038283,1901
"457","TGO",27.0607932180916,1901
"458","THA",27.3588735934006,1901
"459","TJK",10.6699501926195,1901
"460","TKM",15.4221444173496,1901
"461","TLS",25.2907103645954,1901
"462","TON",NA,1901
"463","TTO",25.6961213067747,1901
"464","TUN",18.3361203897867,1901
"465","TUR",12.8090224650754,1901
"466","TWN",19.6233176412877,1901
"467","TZA",22.1497363165151,1901
"468","UGA",22.9661543304897,1901
"469","UKR",8.51296239959236,1901
"470","URY",17.8579362041579,1901
"471","USA",13.0847367535754,1901
